Wavelength(nm),Var#1(21sec)
697.854,1.37E+08
698.236,9.36E+07
698.619,1.43E+08
699.001,1.43E+08
699.383,8.23E+07
699.766,1.11E+08
700.148,9.93E+07
700.53,1.06E+08
700.912,8.37E+07
701.295,1.34E+08
701.677,1.28E+08
702.059,6.76E+07
702.441,1.52E+08
702.823,7.72E+07
703.205,1.09E+08
703.587,1.02E+08
703.969,1.18E+08
704.351,1.08E+08
704.733,8.50E+07
705.115,7.87E+07
705.496,1.03E+08
705.878,1.36E+08
706.26,8.36E+07
706.641,1.28E+08
707.023,8.57E+07
707.405,8.77E+07
707.786,9.95E+07
708.168,1.00E+08
708.549,1.10E+08
708.931,1.47E+08
709.312,9.01E+07
709.693,1.13E+08
710.075,8.48E+07
710.456,1.01E+08
710.837,9.81E+07
711.219,9.84E+07
711.6,8.35E+07
711.981,8.93E+07
712.362,1.34E+08
712.743,8.56E+07
713.124,9.93E+07
713.505,9.75E+07
713.886,1.09E+08
714.267,1.02E+08
714.647,1.01E+08
715.028,1.52E+08
715.409,1.13E+08
715.79,1.05E+08
716.17,9.34E+07
716.551,1.44E+08
716.931,1.25E+08
717.312,6.68E+07
717.692,8.87E+07
718.073,1.18E+08
718.453,1.25E+08
718.834,9.15E+07
719.214,1.38E+08
719.594,9.87E+07
719.974,1.07E+08
720.354,1.37E+08
720.734,7.93E+07
721.115,1.23E+08
721.495,6.69E+07
721.874,1.01E+08
722.254,1.22E+08
722.634,8.09E+07
723.014,1.08E+08
723.394,9.75E+07
723.774,9.99E+07
724.153,1.25E+08
724.533,9.89E+07
724.912,1.01E+08
725.292,1.03E+08
725.671,1.72E+08
726.051,9.72E+07
726.43,1.23E+08
726.809,7.70E+07
727.189,1.28E+08
727.568,9.51E+07
727.947,1.12E+08
728.326,1.51E+08
728.705,9.27E+07
729.084,6.52E+07
729.463,8.35E+07
729.842,6.98E+07
730.221,1.14E+08
730.6,9.96E+07
730.979,2.42E+07
731.357,1.08E+08
731.736,7.66E+07
732.115,5.81E+07
732.493,1.04E+08
732.872,9.48E+07
733.25,1.21E+08
733.628,1.04E+08
734.007,1.07E+08
734.385,9.16E+07
734.763,6.34E+07
735.142,9.58E+07
735.52,1.18E+08
735.898,1.19E+08
736.276,1.37E+08
736.654,8.52E+07
737.032,7.12E+07
737.41,7.97E+07
737.787,8.11E+07
738.165,1.31E+08
738.543,1.29E+08
738.921,7.77E+07
739.298,1.02E+08
739.676,7.69E+07
740.053,1.21E+08
740.431,1.39E+08
740.808,4.80E+07
741.185,1.12E+08
741.563,8.52E+07
741.94,9.82E+07
742.317,1.23E+08
742.694,1.14E+08
743.071,1.04E+08
743.448,8.35E+07
743.825,1.10E+08
744.202,9.87E+07
744.579,8.40E+07
744.956,1.41E+08
745.333,8.86E+07
745.709,1.12E+08
746.086,1.21E+08
746.463,8.37E+07
746.839,9.47E+07
747.216,1.03E+08
747.592,8.24E+07
747.969,1.20E+08
748.345,1.20E+08
748.721,6.09E+07
749.098,9.80E+07
749.474,6.78E+07
749.85,8.09E+07
750.226,5.89E+07
750.602,9.83E+07
750.978,7.63E+07
751.354,9.55E+07
751.73,7.17E+07
752.106,6.04E+07
752.482,7.64E+07
752.857,1.18E+08
753.233,1.35E+08
753.609,4.67E+07
753.984,8.37E+07
754.36,8.68E+07
754.735,4.13E+07
755.111,4.77E+07
755.486,9.42E+07
755.861,1.10E+08
756.237,1.18E+08
756.612,3.81E+07
756.987,1.46E+08
757.362,5.74E+07
757.737,8.50E+07
758.112,1.14E+08
758.488,1.72E+08
758.862,9.28E+07
759.237,6.08E+07
759.612,6.25E+07
759.987,1.07E+08
760.362,6.23E+07
760.737,1.22E+08
761.111,7.38E+07
761.486,1.23E+08
761.861,9.19E+07
762.235,1.05E+08
762.61,7.61E+07
762.984,6.78E+07
763.359,1.16E+08
763.733,5.70E+07
764.107,8.12E+07
764.482,8.96E+07
764.856,7.61E+07
765.23,6.22E+07
765.604,9.82E+07
765.979,6.26E+07
766.353,1.21E+08
766.727,6.09E+07
767.101,6.40E+07
767.475,6.80E+07
767.849,8.16E+07
768.223,9.61E+07
768.596,8.83E+07
768.97,5.79E+07
769.344,1.10E+08
769.718,5.63E+07
770.092,1.30E+08
770.465,7.13E+07
770.839,1.31E+08
771.213,1.57E+08
771.586,1.84E+08
771.96,1.59E+08
772.333,7.08E+07
772.707,6.59E+07
773.08,1.24E+08
773.454,9.22E+07
773.827,1.09E+08
774.201,1.22E+08
774.574,1.53E+08
774.947,1.03E+08
775.32,1.06E+08
775.694,1.28E+08
776.067,6.99E+07
776.44,1.05E+08
776.813,9.41E+07
777.187,5.43E+07
777.56,1.30E+08
777.933,1.06E+08
778.306,1.31E+08
778.679,1.26E+08
779.052,2.06E+07
779.425,5.95E+07
779.798,6.62E+07
780.171,1.01E+08
780.544,5.13E+07
780.917,9.75E+07
781.29,1.17E+08
781.663,4.93E+07
782.035,8.50E+07
782.408,1.01E+08
782.781,6.13E+07
783.154,1.48E+08
